EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010674605,IGLESIA FUENTE DE AGUA VIVA ORLANDO FL INC,% RODOLFO O FONT,PO BOX 3869,CAROLINA,PR,00984-3869,0000,03,3,7000,201611,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
020533102,PATHSTONE CORPORATION,,VILLA NEVAREZ CALLE 5 STE 1122,SAN JUAN,PR,00927-0000,9113,03,9,1000,198209,1,15,994566560,1,01,,0,0,01,0,09,,,,,PARQUE PLATINO INC
043700254,IGLESIA EVANGELICA MISIONERA FUERZA AGAPE,% ROBERT RANSOM,PO BOX 580,SAN ANTONIO,PR,00690-0580,2046,03,9,7000,196911,1,10,001000000,5,01,,0,0,06,0,12,,,,,
060602997,TITI MILLIE DAY CARE INC,,PO BOX 1347,GUANICA,PR,00653-1347,0000,03,3,1000,200206,1,15,000000000,1,01,202309,4,5,01,0,09,323798,802387,802387,P33,
113579283,MARIE AND PAUL NAPOLI FOUNDATION,% MARIE ELIZABETH KAISER NAPOLI,200 DORADO BEACH DRIVE 3812,DORADO,PR,00646-0000,0000,03,3,1000,200102,1,04,000000000,1,01,202212,5,4,00,1,12,514700,290215,,T20,
133801234,MULE FAMILY FOUNDATION,% MULE FAMILY FOUNDATION,200 DORADO BEACH DRIVE RES 3431,DORADO,PR,00646-0000,0000,03,3,1000,199608,1,04,602000000,2,01,202308,8,6,00,1,08,29719860,3032328,,T99Z,
200072423,MINISTERIO VIDA ABUNTANTE-ABUNDANT LIFE MINISTRY-INC,% DARTHA RAE RIVERA,C1 CALLE MIOSOTIS-JARD DEL CARIBE,MAYAGUEZ,PR,00682-0000,0000,03,3,1270,200406,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,X20,
223275938,PADMASAMBHAVA BUDDHIST CENTER OF PUERTO RICO,% NESTOR KUILAN,1453 ALFONSO AVE,ALTAMIRA RIO PIEDROS,PR,00921-0000,9243,03,9,7000,199209,1,10,001029123,5,01,,0,0,06,0,12,,,,,
223480547,IGLESIA PENTECOSTAL VIDA Y VERDAD DE LAS ASAMBLEAS DE DIOS,% BARBARA NIEVES,PO BOX 2877,GUAYAMA,PR,00785-2877,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
237034732,FAMILIES PLANNING ASSOCIATION OF PUERTO RICO,,PO BOX 192379,SAN JUAN,PR,00919-2379,0000,03,3,1200,195709,1,15,602059000,5,01,202212,6,6,01,0,12,4847212,2380468,2380468,,
237050819,ARNOLD AIR SOCIETY-SILVER WINGS,% UNIV OF PUERTO RICO MAYAGUEZ,ROTC BLDG SANCHEZ HALL BOX 9000,MAYAGUEZ,PR,00681-0000,1224,04,9,3000,197001,2,00,059000000,5,01,202405,0,0,02,0,05,0,0,0,,756 AFROTC DET
237057588,TAU BETA PI ASSOCIATION INC,% JOSUAN H SANCHEZ,PO BOX 9000,MAYAGUEZ,PR,00681-9000,0782,07,9,1000,197003,2,00,059319000,5,01,202205,0,0,02,0,05,0,0,0,,PUERTO RICO ALPHA CHAPTER
237063049,NATIONAL TREASURY EMPLOYEES UNION,% HIRAM GONZALEZ,PO BOX 37297,SAN JUAN,PR,00937-0297,0878,05,9,3000,194508,2,00,263264480,5,01,202309,0,0,02,0,09,0,0,0,,188 NTEU CHAPTER
237128019,CLUB DE LEONES CAPITAN CORREA DE ARECIBO INCORPORATED,% JOSE MARRERO NIEVES,PO BOX 2302,ARECIBO,PR,00613-2302,0239,04,9,3000,197109,2,00,279319000,5,01,202406,0,0,02,0,06,0,0,0,,14377 ARECIBO CAPITAN CORREA
